"number","title","pageid","namespace","length","touched"
"1","Abraham_Lincoln","307","","179818","20170313001506"
"2","Albert_Sidney_Johnston","711","","42749","20170313001506"
"3","Alp_Arslan","868","","14821","20170313004343"
"4","Amalaric","1373","","4839","20170313003015"
"5","Ahab","1389","","10755","20170313003015"
"6","Abner","1526","","14612","20170310131712"
"7","Agrippina_the_Younger","1557","","38047","20170313003020"
"8","Alaric_II","1571","","8828","20170313003020"
"9","Alboin","1575","","50549","20170313003020"
"10","Alexander_I_of_Epirus","1585","","4377","20170303090849"
"11","Alexander_of_Pherae","1587","","9428","20170303090849"
"12","Alexander_I_of_Serbia","1595","","13221","20170313003020"
"13","Severus_Alexander","1600","","25361","20170313003020"
"14","Alexios_II_Komnenos","1615","","7298","20170313003020"
"15","Amalasuntha","1655","","6807","20170313003020"
"16","Anacharsis","1732","","8698","20170313003029"
"17","Archimedes","1844","","69798","20170313003029"
"18","Archimedean_solid","1847","","20275","20170313003029"
"19","Adalbert_of_Prague","2108","","14919","20170313004355"
"20","Ahmad_Shah_Massoud","2176","","101283","20170313004355"
"21","Amnon","3065","","3073","20170313005503"
"22","Berry_Berenson","4182","","7714","20170313011339"
"23","Barbara_Olson","4195","","8894","20170313011339"
"24","Burhanuddin_Rabbani","4611","","15233","20170313013055"
"25","Christopher_Marlowe","5771","","56854","20170313123601"
"26","Cicero","6046","","72132","20170313014713"
"27","Claudius","6140","","73439","20170313014713"
"28","Cuboctahedron","6280","","14970","20170313014724"
"29","Carolyn_Beug","6337","","4227","20170312174815"
"30","Charles_Edward_Jones","6456","","3107","20170312174815"
"31","Constans","6747","","12073","20170313015636"
"32","Caligula","6852","","73011","20170313015641"
"33","Charles_d'Abancour","7207","","2731","20170312130944"
"34","Causantín_mac_Cináeda","7233","","18173","20170313015650"
"35","Constantine_II_(emperor)","7234","","8729","20170313015650"
"36","David_Angell","8436","","8039","20170313021035"
"37","Domitian","8592","","95185","20170313021048"
"38","Denis_Auguste_Affre","8876","","7850","20170313021703"
"39","David_Huffman","8940","","10029","20170313021703"
"40","Évariste_Galois","9815","","34779","20170313021835"
"41","Engelbert_Dollfuss","10150","","26882","20170313021906"
"42","Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma","10292","","94867","20170313021906"
"43","Edmund_I","10354","","10107","20170313021906"
"44","Emperor_Sushun","10418","","8185","20170313023353"
"45","Emperor_Ankō","10460","","7159","20170313023353"
"46","Felix_Hausdorff","10989","","53919","20170313023411"
"47","Francisco_I._Madero","11285","","40438","20170313025007"
"48","Frédéric_Bazille","11459","","8342","20170313025010"
"49","Garnet_Bailey","12556","","11878","20170312205920"
"50","Galba","12576","","14115","20170313025408"
"51","Gallienus","12677","","29682","20170313025408"
"52","Grigori_Rasputin","12804","","37330","20170313042720"
"53","Huldrych_Zwingli","13602","","73367","20170313025529"
"54","Hans-Dietrich_Genscher","13669","","47219","20170313123728"
"55","Elagabalus","14227","","55637","20170313025630"
"56","Hafizullah_Amin","14280","","60520","20170313025634"
"57","Henry_Moseley","14454","","23201","20170313025634"
"58","Icosidodecahedron","15023","","10475","20170313025808"
"59","Indira_Gandhi","15179","","123686","20170313025818"
"60","Isoroku_Yamamoto","15408","","57546","20170313025824"
"61","James_Cook","15630","","69389","20170313030131"
"62","John_Lennon","15852","","129085","20170313030140"
"63","Julius_Caesar","15924","","105644","20170313030140"
"64","J._G._Ballard","15927","","53244","20170313030140"
"65","Jeffrey_Dahmer","16218","","126896","20170313030430"
"66","James_Clavell","16283","","13221","20170313030430"
"67","John_Cade","16285","","14929","20170313064026"
"68","Julian_(emperor)","16300","","84628","20170313030430"
"69","Jean-Paul_Sartre","16340","","65699","20170313030430"
"70","J._E._B._Stuart","16376","","65391","20170313030430"
"71","Joe_Orton","16486","","22255","20170313030434"
"72","Kamikaze","16625","","64732","20170313051840"
"73","Kurt_Vonnegut","16861","","82198","20170313030805"
"74","Konrad_Lorenz","17077","","35416","20170313030810"
"75","Kurt_Schwitters","17121","","50933","20170313030810"
"76","Lee_Harvey_Oswald","17652","","125031","20170313030812"
"77","Leon_Trotsky","17888","","148615","20170313031044"
"78","Lavr_Kornilov","18096","","14580","20170313031046"
"79","LeRoy_Homer_Jr.","18225","","8593","20170313031046"
"80","Lulach","18477","","3822","20170313031352"
"81","Mehmed_the_Conqueror","19046","","79188","20170313081949"
"82","Mahatma_Gandhi","19379","","183746","20170313044916"
"83","Marc_Bloch","19665","","19821","20170313031722"
"84","Tacitus_(emperor)","19821","","7737","20170313031826"
"85","Mark_Bingham","19941","","18615","20170313031826"
"86","Murad_I","19986","","10951","20170313031836"
"87","Martin_Luther_King_Jr.","20076","","186313","20170313031836"
"88","Meir_Kahane","20202","","60924","20170313031836"
